model	objective	gene	status	value
./model.xml	obj	G_PA14_05070	optimal	1.5908505726730215
./model.xml	obj	G_PA14_05080	optimal	1.5908505726730215
./model.xml	obj	G_PA14_05150	optimal	1.590850572673012
./model.xml	obj	G_PA14_05200	optimal	1.5908505726730175
./model.xml	obj	G_PA14_05220	optimal	1.59003350250792
./model.xml	obj	G_PA14_05230	optimal	1.5908505726730369
./model.xml	obj	G_PA14_05250	optimal	1.590850572673025
./model.xml	obj	G_PA14_05260	optimal	1.59085057267304
./model.xml	obj	G_PA14_05270	optimal	1.5908505726730084
./model.xml	obj	G_PA14_05310	optimal	1.5908505726730091
./model.xml	obj	G_PA14_05460	optimal	1.5908505726730298
./model.xml	obj	G_PA14_05530	optimal	1.5908505726730091
./model.xml	obj	G_PA14_05540	optimal	1.5908505726730091
./model.xml	obj	G_PA14_05550	optimal	1.5908505726730204
./model.xml	obj	G_PA14_05590	optimal	0.0
./model.xml	obj	G_PA14_05600	optimal	1.590850572673004
./model.xml	obj	G_PA14_05620	optimal	-1.2830291040373057e-12
./model.xml	obj	G_PA14_05690	optimal	1.4961187423679365
./model.xml	obj	G_PA14_05700	optimal	1.5908505726711977
./model.xml	obj	G_PA14_05740	optimal	1.4336179933546513
./model.xml	obj	G_PA14_05750	optimal	1.4336179933546391
./model.xml	obj	G_PA14_05770	optimal	1.4336179933534154
./model.xml	obj	G_PA14_05790	optimal	1.5908505726951587
./model.xml	obj	G_PA14_05810	optimal	1.4336179933546478
./model.xml	obj	G_PA14_05840	optimal	1.5875364359284843
./model.xml	obj	G_PA14_05870	optimal	1.5908505726730062
./model.xml	obj	G_PA14_06230	optimal	1.5908505726730258
./model.xml	obj	G_PA14_06290	optimal	1.590850572673052
./model.xml	obj	G_PA14_06500	optimal	1.590850572673035
./model.xml	obj	G_PA14_06510	optimal	1.5908505726730102
./model.xml	obj	G_PA14_06570	optimal	1.5908505726730298
./model.xml	obj	G_PA14_06600	optimal	1.5908505726933424
./model.xml	obj	G_PA14_06660	optimal	1.5908505726730273
./model.xml	obj	G_PA14_06730	optimal	1.5908505726730169
./model.xml	obj	G_PA14_06740	optimal	1.5908505726730306
./model.xml	obj	G_PA14_06750	optimal	1.5908505726730306
./model.xml	obj	G_PA14_06810	optimal	1.5908505726730306
./model.xml	obj	G_PA14_06830	optimal	1.5908505726730306
./model.xml	obj	G_PA14_06840	optimal	1.5908505726730306
